seq,firstName,lastName,age,street,city,state,zip,dollar,pick,date
1,Vernon,Doyle,50,Bohe Ridge,Sahuknet,ME,12095,"$8,880.85 ",RED,4/30/1980
2,Ollie,Evans,63,Gomu Extension,Uporiti,IL,542,"$5,274.10 ",RED,3/17/1901
3,Mittie,Atkins,52,Oliva Ridge,Camsaes,WI,31141,"$3,934.43 ",RED,10/26/1925
4,Eugenia,Jensen,23,Wilruh Street,Gevohauc,DC,61901,"$7,595.05 ",GREEN,12/18/2070
5,Sam,Ball,39,Ketbo Lane,Gafehhe,KY,74820,"$6,121.07 ",GREEN,4/28/2048
6,Lucille,Harrison,52,Uluc Junction,Ahapoar,LA,42830,"$3,308.89 ",YELLOW,11/14/2065
7,Chris,Myers,31,Gowom Grove,Bizmigip,ND,17037,"$1,971.50 ",BLUE,2/12/1923
8,Ann,French,60,Kuwis Court,Wejuus,TX,35113,"$2,398.29 ",WHITE,6/25/2047
9,Rosie,Cole,38,Pioze Manor,Lepucuew,NY,28369,"$7,808.31 ",RED,11/29/1946
10,Mable,Ball,23,Nosiw Parkway,Uvejofet,LA,5068,"$2,069.94 ",YELLOW,2/16/1900
11,Daisy,Hernandez,26,Rasif Street,Lurowin,ME,55287,"$8,497.57 ",RED,1/18/2058
12,Larry,Sanchez,42,Tokeh Point,Mefsebem,SD,92130,$730.47 ,RED,11/26/1930
13,Mabelle,Goodman,58,Lumo Avenue,Toureake,AZ,73471,"$2,989.41 ",RED,1/3/1925
14,Eric,Diaz,59,Raez Path,Sacago,NE,78564,"$5,863.80 ",WHITE,8/1/1914
15,Sarah,Ortega,53,Cezvac Drive,Bawhaccom,VT,32849,"$1,462.87 ",GREEN,10/18/2024
16,Benjamin,Howard,64,Eglig Heights,Tavruti,MS,42208,"$2,468.99 ",RED,2/15/1999
17,Bertie,Hanson,29,Ovowap Point,Vosejnu,WY,27674,"$9,329.13 ",WHITE,2/16/1936
18,Barbara,Torres,47,Lafgup Heights,Vuresbab,NY,67825,"$7,823.41 ",BLUE,11/23/2056
19,Nicholas,Morales,59,Rafza Extension,Itdivi,IL,19067,"$4,779.26 ",BLUE,11/27/1928
20,Theresa,Austin,45,Koledi Manor,Himufukis,DE,52364,"$5,699.59 ",GREEN,12/24/1969
21,Olga,Lambert,53,Lijzad Glen,Hanculcih,OK,93434,"$1,891.89 ",GREEN,6/12/1928
22,Betty,Arnold,48,Gugej Path,Ovwobovi,MI,2091,$2.64 ,YELLOW,7/1/1955
23,Theodore,Colon,33,Pocvof Court,Barohoj,MT,40204,"$3,659.85 ",BLUE,2/12/2044
24,Sadie,Ramsey,53,Pihik Pass,Hidmigo,SC,13820,"$1,781.94 ",WHITE,6/14/2037
25,Warren,Moody,23,Ilmaz Heights,Nikmebo,MN,40825,"$8,221.23 ",YELLOW,4/4/1991
26,Kate,Neal,32,Agpi Terrace,Lorilduj,ND,63597,"$5,339.81 ",BLUE,3/21/2061
27,Abbie,Wilkins,47,Wuogo Drive,Celimenaw,VT,74998,"$7,396.65 ",RED,10/2/2039
28,Jayden,Parker,19,Sovut Plaza,Iculeje,VA,87869,"$1,846.46 ",GREEN,1/2/1939
29,Steve,Thompson,65,Niva Parkway,Dosomit,MO,86892,$724.83 ,BLUE,9/27/1975
30,Iva,Watkins,40,Peco Highway,Icigurizu,ME,95651,$858.25 ,GREEN,1/16/1938
31,Charlotte,Little,21,Bige Path,Fefnabbe,WV,80870,"$1,647.08 ",RED,6/1/1978
32,Nicholas,Robbins,61,Fofop Trail,Kenwisev,CA,46401,"$2,220.02 ",YELLOW,8/27/2061
33,Winifred,Coleman,53,Jenmez Square,Owvalreb,VA,64129,"$3,752.50 ",BLUE,5/24/1914
34,Dustin,Jacobs,27,Lured Avenue,Utsajsin,OR,88810,$937.06 ,YELLOW,10/1/2022
35,Margaret,Ross,46,Naiji Park,Zamofse,NJ,70315,"$1,229.41 ",BLUE,10/10/2055
36,Beulah,Bates,28,Wewha Avenue,Ovifikji,SC,55172,"$6,559.78 ",WHITE,8/2/1907
37,Luke,Farmer,64,Tidu River,Onbiwar,AK,26429,"$9,116.11 ",WHITE,4/6/2039
38,Todd,Young,27,Gihli Boulevard,Wijekeata,NJ,73731,$267.71 ,YELLOW,4/20/1931
39,Earl,McGee,23,Zimoz Park,Punilgu,AK,77766,"$8,365.91 ",BLUE,8/3/2069
40,Elsie,Wise,38,Wovfo Road,Uroelep,MD,71526,"$7,840.07 ",RED,9/7/1912
41,Douglas,Carson,24,Mitac Avenue,Nirzigmi,MN,6055,$725.72 ,WHITE,8/30/2000
42,Adeline,Drake,25,Bawma Plaza,Helebdaz,AK,48032,"$9,724.32 ",BLUE,6/6/1922
43,Augusta,Norton,60,Tibfik Trail,Zofinan,MD,10352,"$7,000.73 ",GREEN,9/1/1943
44,Anthony,Page,28,Jefo Pass,Vepovce,NE,55386,"$9,348.82 ",RED,11/12/1980
45,Rhoda,Richardson,25,Fuer Manor,Ribtujdu,OR,99043,"$8,236.98 ",YELLOW,10/7/2058
46,Millie,Houston,45,Jakca Pass,Vuhafes,NJ,3886,"$9,180.44 ",BLUE,10/5/2012
47,Lola,French,40,Evizo Lane,Zuozvok,AR,41241,"$6,303.00 ",RED,5/22/2023
48,Danny,Steele,36,Lowpuh Extension,Wevokwin,SD,64686,"$8,970.88 ",GREEN,6/24/2069
49,Justin,Santiago,43,Etupe River,Ehupif,AR,69465,"$4,393.50 ",BLUE,11/30/1981
50,Ella,Lawrence,44,Luwo Junction,Zawufena,KY,27490,"$7,721.80 ",WHITE,2/7/1916
51,Robert,Graham,55,Kaneg Mill,Kedcukaci,NM,83058,"$8,465.77 ",RED,6/13/2026
52,Mable,Phillips,62,Kahnuk Manor,Opsupfe,NE,2760,"$1,022.93 ",BLUE,8/13/1957
53,Jim,Delgado,48,Cabif Center,Vajujetuf,UT,97135,"$5,375.43 ",BLUE,6/22/2045
